Views,Title,Link
4M views,Hanad Dzehverovic i Isak Sabanovic - Splet pesama - (live) - ZG - 20/21 - 02.01.21. EM 48,https://www.youtube.com/watch?v=yKAtM8mG648
1.6M views,Zoi - Djavoli,https://www.youtube.com/watch?v=WHwOMtUUuMw
471K views,THE FRAJLE - TAJNA VINOVE LOZE (OFFICIAL VIDEO),https://www.youtube.com/watch?v=hicoHsh_BF8
783K views,Aleksandra Prijovic - Opet imam razloga da zivim - (live)- (Nikad Nije Kasno 17.1.2021.),https://www.youtube.com/watch?v=dMbW5RGS0KA
489K views,NINA TODOROVIC x IVA x ENA - PRIDJI (OFFICIAL VIDEO),https://www.youtube.com/watch?v=ggafagVwh-Q
283K views,"SKANDAL TOKOM EMISIJE - Nenad Canak napusta studio zbog Dragoslava Bokana, a Jovana Jeremic u soku!",https://www.youtube.com/watch?v=YKKTliGE-mc
263K views,Aleksandra Radovic - Jesam te pustila (Official Lyrics Video),https://www.youtube.com/watch?v=5ZDYa1qPLK0
346K views,SEKTAŠICA (REMIX) [BRAK NA NEVIĐENO],https://www.youtube.com/watch?v=X4lODHZ-MGY
172K views,Natasa Aksentijevic - Moji roditelji su dali sve svom sinu a meni nista (Grand Magazin 29.01.2021.),https://www.youtube.com/watch?v=b7L4MLZz4MI
