name,state,price,currency,text,category,subcategory
"TP-Link TPL-M5350 router, wireless 3G",Korišćeno,3600,din,"Tp Link M5330 Wireless 3G ruter, potpuno ispravan i odlicno ocuvan, baterija odlicna, konekcija do 10 korisnika. Uredjaj je testiran na MTS Mrezi, radi i na svim ostalim mrezama.",Kompjuteri | Desktop,Modemi i ruteri
Olympus VN8500 Voice Recorder,Korišćeno,5000,din,"Olympus diktafon potpuno ispravan i odlicno ocuvan. 1 GB interne menorije

Veliki matrix ekran sa punim tačkama sa mogućnošću odabira veličine fonta i podešavanja kontrasta
USB veza za brzo preuzimanje na računar
Visok kvalitet zvuka: VMA format datoteke i popularan mp3 format
5 Foldera za skladištenje datoteka, 200 snimanja po folderu
3 kvaliteta snimanja (HK / SP / LP)",Audio,Profesionalna oprema
Olympus WS802 Voice Recorder,Korišćeno,5000,din,"Olympus Voice Recorder, potpuno ispravan i odlicno ocuvan.

4Gb Internal Memory With Micro SD Card Slot
USB Direct Connector And Battery Charge Function
Pcm/Mp3/Wma Stereo Recording
New Voice Balancer Function
New Voice Playback Function",Audio,Profesionalna oprema
Huawei Mobile Wi-FI E589 3G 4G LTE Router,Korišćeno,6000,din,"Huawei Mobile Wi-FI E589 potpuno ispravan i odlicno ocuvan Mi-Fi ruter.
Ruter je otkljucan za sve mreze.",Kompjuteri | Desktop,Modemi i ruteri
Sennheiser OMX 680 In-Ear Sports Earclip Headphone,Korišćeno,1500,din,Potpuno ispravne i odlicno ocuvane slusalice.,Audio,Slušalice
Sennheiser HD 438 Slusalice,Korišćeno,5500,din,Potpuno ispravne i odlicno ocuvane slusalice.,Audio,Slušalice
Beats by Dr. Dre B0500 Studio 2.0 Headphones Wired,Korišćeno,12000,din,"Potpuno ispravne i savrseno ocuvane zicne slusalice. Savrsen zvuk sa beats slusalicama.
Uz slusalice se dobija i zastitna torbica kao i punjac sa usb kablom.",Audio,Slušalice
Braun Silk epil Serija 5,Kao novo - nekorišćeno,2500,din,"Braun Silk epil Serija 5, potpuno ispravan i odlicno ocuvan.","Nega lica, tela i ulepšavanje",Aparati i oprema
Gastroback Design Espresso Maschine Advanced 42609,Korišćeno,9000,din,"Prodajem aparat za espresso kafu Gastroback Nemacki odlican, potpuno ispravan i solidno ocuvan.
Pravi fenomenalnu espresso kafu sa odlicnom cremom. Na aparatu nedostaje resetka gde se drzi solja, sve ostalo je u solidnom stanju. Uz aparat ide kasika sa filterom za calde-jastucice.

S izdržljivim kućištem i profesionalnom funkcionalnosti kao i izvrsnim performansama, Gastro 42609 Espresso je idealan aparat za istinske ljubitelje kave.
Luksuzni dizajn
ULKA profesionalna espresso pumpa
17 bara (portafilter)
PAD sistem: Također je pogodan za uporabu s espresso jastučićima
2.2-litreni spremnik
Sistem termo blok grejanja
Funkcija tople vode
Indikator nivoa
Uvek savršena kafa i user-friendly rukovanje
Soljice do 11 cm visine",Bela tehnika i kućni aparati,Aparati za kafu
DeLonghi ECZ 351. Scultura,Kao novo - nekorišćeno,13500,din,"Prodajem DeLonghi ECZ 351 Scultura Aparat za Espresso Kafu, u savrsenom ispravnom stanju kao nov i nekoriscen. Pravi izvanrednu espresso kafu, kapucino i caffe Latte. Aparat je koriscen svega nekoliko puta. Isporucuje se sa Portafilterom i dodacima koje mozete videti na slikama, za jednu kafu, dve kafe, dodatkom za kalde i plasticnom kasikom za merenje kafe a sa druge strane je tamper.

DeLonghi ECZ 351. BK Scultura Profesionalna multifunkcionalna espresso mašina Kapućino crema Automatski režim pripravnosti Inteligentno dizajniran držač filtera za savršen kapućino Snaga: 1100 V Pritisak pumpe 15 bara Sistem ventilacije, uvek spreman za upotrebu Višenamenski držač filtera za mlevenu kafu Cink belo metalno-plastično kućište sa ekskluzivnim hromiranim elementima Kapućino crema Sistem grejanja kotla Odvojeni termostati za kafu i paru Kotao od nerđajućeg čelika Vruća čajna voda Prozirni prenosni rezervoar za vodu (1,4 litra)",Bela tehnika i kućni aparati,Aparati za kafu
Kenwood Delovi za aparat,Neispravno ili oštećeno,1800,din,Prodajem delove za Kenwood masinu za seckanje.,Bela tehnika i kućni aparati,Kuhinjski aparati
Bosch AL1115 CV Li-Ion Punjac,Kao novo - nekorišćeno,3600,din,"Bosch AL1115 CV punjac za baterije od 3,6 Volti do 10,8 volti 1,5 Ampera.
Potpuno ispravan i kao nov i nekoriscen.",Alati i oruđa,Električni aku alati
"Dyson V10, V11, Absolute Animal Motorhead Strujni adapter",Korišćeno,2400,din,"Dyson Strujni adapter za V10, V11 i Absolute Animal Motorhead Cordless Vacuum.
Potpuno ispravan i odlicno ocuvan, Model 217160-03
30,45 Volti 1,1 A",Bela tehnika i kućni aparati,Usisivači i paročistači | Delovi i oprema
Apple A1343 Magsafe 85W Power Adapter,Korišćeno,6000,din,"Apple A 1343 Magsafe power adapter potpuno ispravan i solidno ocuvan sa svojim strujnim kablom.
18,5 volti 4,6 Ampera",Kompjuteri | Laptop i tablet,Laptopovi | Apple oprema i delovi
"Dell Originalni Punjac 19,5V 6,7A LA130PM121",Korišćeno,2400,din,"Prodajem ispravan i testiran Dell punjac za Lap Top 19,5 volti 6,7 ampera.
Konektor je sa iglicom siroki.",Kompjuteri | Laptop i tablet,Laptopovi | Adapteri
Braun Serija 7 Aparat za Brijanje Crni,Korišćeno,6000,din,"Prodajem ispravan i testiran, odlicno ocuvan Braun aparat za brijanje iz vrhunske serije 7.

5 načina brijanja od Sensitive do Turbo
Wet & Dry može se koristiti kao suvo ili brijanje ispod tuša
Braun Sonic tehnologija očitava i prilagođava se bradi
1 sat punjenja za pun kapacitet
5 minuta punjenja za jedno brijanje
Boja crna",Bela tehnika i kućni aparati,Uređaji za ličnu negu
Plantronics Voyager Edge Bluetooth Slusalica Crna,Korišćeno,7500,din,"Prodajem ispravnu bluetooth slusalicu Plantronics Voyager Edge.
Slusalica je odlicno ocuvana i ima funkciju poništavanja buke, koja omogućava jasnije razgovore
Smart senzor može preusmeravati pozive na telefon ili slušalicu, pauzirati muziku u toku poziva i automatski se javljati po postavljanju slušalice na uvo
Glasovne komande za još lakše upravljanje
Nano tehnologija premaza, pruža nevidljivi sloj zaštite, koji onemogućava prljanje
Otporne na vlagu i prosipanje tečnosti
Trajanje baterije: 6h",Mobilni tel. | Oprema i delovi,Slušalice za mobilne telefone
Jabra Pro 9400BS Baza,Korišćeno,2400,din,"Prodajem ispravnu Jabra Pro 9400BS bazu, bez slusalice.
Povezuje sa vasim mobilnim i smart telefonom kao i fixnim telefonom.
Poseduje ekran osetljiv na dodir.",Kompjuteri | Desktop,Slušalice i mikrofoni
Spyder 2 ColorVision Kalibrator za Monitore,Kao novo - nekorišćeno,4800,din,"Colorvision Spyder 2 Kalibrator za monitore, radi na windows 7 operativnom sistemu,
potpuno ispravan u svojoj originalnoj kutiji sa softwerom na cd-u i serijskim brojem za upotrebu.",Kompjuteri | Desktop,Monitori
Selle Royal Shadow Sediste za Bicikl,Korišćeno,1200,din,"Prodajem Selle Royal Shadow sediste za bicikl ocuvano i ispravno, prodaje se bez cevi, dakle samo sediste.",Bicikli | Delovi i oprema,Sedišta
Selle Italia Cube Sediste za Bicikl,Korišćeno,1800,din,Prodajem Sediste za Bicikl Selle Italia Cube odlicno ocuvano i naravno ispravno i spremno za upotrebu. Made in Italy.,Bicikli | Delovi i oprema,Sedišta
Abus TVAC16000 Security Centar Monitor,Korišćeno,6500,din,"Pradajem Abus Monitor za Security  sisteme za video nadzor, na monitor se mogu povezati 4 kamere. Monitor je potpuno ispravan i odlicno ocuvan, isporucuje se sa svojim dokom i strujnim adapterom. Na njega se mogu kaciti kamere koje ispred modela imaju TVAC

7 ""Set za kućni video nadzor Touch & App (Art. Br. TVAC16000B)

7 ""monitor u boji sa integrisanim zvučnikom (radi na punjivim baterijama) Jednostavno rukovanje intuitivnim ekranom osetljivim na dodir Mobilni pristup putem aplikacije
Daljinski pristup putem LAN-a pomoću priključne stanice (baterija za monitor se istovremeno puni) Može se proširiti na četiri bežične kamere",Elektronika i komponente,Video nadzor
