name,state,price,currency,text,category,subcategory
Roland AC Adapter PSB-7U 12V-4A,Korišćeno,2500,din,"Prodajem Roland Strujni adapter 12 Volti 4 Ampera Model je SA150A-1240U-3
Potpuno ispravan i odlicno ocuvan. Adapter je za BK-5 Backing Keyboard.",Muzika i instrumenti,Klavijature | Oprema i delovi
Philips Sonicare Zamenske Cetkice,Kao novo - nekorišćeno,3600,din,"Philips Sonicare Zamenske cetkice za Philips Sonicare elektricnu cetkicu, nove i neotpakovane.
Pakovanje sadrzi 8 cetkica.",Bela tehnika i kućni aparati,Uređaji za ličnu negu
Behringer PSU8-EU V-Amp,Korišćeno,1800,din,"Prodajem Behringer V-Amp strujni adapter za Behringer V-AMP, V-AMP2, V-AMP3, LX1B, DFX69V-AMP3 und DFX69, potpuno ispravan i odlicno ocuvan.",Muzika i instrumenti,Gitarska oprema | Efekti i pedale
Gefu Zarezac za Povrce,Korišćeno,1200,din,"Gefu zarezac za povrce, nov i nekoriscen, poklon ljustilica za povrce.",Uređenje kuće,Kuhinjske stvari
Fitbit USB Charging Cable for Flex 2 Activity Tracker,Korišćeno,1000,din,"FitBit Usb kabel za punjenje za Flex 2 Activity Tracker.
Ispravan i ocuvan.",Sport i razonoda,Oprema za fitnes i aerobik
Stratel WTS 546 Toki voki,Korišćeno,4500,din,"Stratel WTS 546 mali Toki voki potpuno ispravni i solidno ocuvani sa sitnim tragovima koriscenja.
Isporucuju se sa strujnim adapterom koji puni baterije, obe istovremeno, baterije su u solidnom stanju.",Elektronika i komponente,Radio primopredajnici i oprema
Proxxon FBS 230E Modelarska Busilica/Glodalica,Korišćeno,6000,din,"Prodajem ispravnu i testiranu originalnu busilicu/glodalicu.
Za bušenje, glodanje, brušenje, poliranje, četkanje, sečenje, i graviranje. Ekstremno vitko kućište od POLIAMIDA ojačano staklenim vlaknima sa mekim komponentama u predelu prihvata pa omogućuje i držanje i sa dva prsta.
Omogućuje izuzetno lako rukovanje 
Balansiran i tih Dc motor, dugog radnog veka
Maksimalna brzina od 20.000 obr. može kontinuirano biti redukovana do 5000 obr.
Nudi skoro isti obrtni momenat i u nižem opsegu brzine. To je specijalno važno za mikro bušenje, brušenje i poliranje.
Visoko kvalitetne MICROMOT čelične čaure: Čak i male osovine su precizno ukljopljene
Bez vibriranja i zveckanja bitova i sekača
Deo za izmenu alata može pomoću dugmeta biti zaključan kako bi sprečio njegovo spadanje",Elektronika i komponente,Električni uređaji i alati
Garmin Vivoactive HR Smart Watch GT USB Charging Dock,Korišćeno,1200,din,Prodajem USB kabl za punjenje baterije u i sinhronizaciju Garmin Vivactive HR smart sata.,"Nakit, satovi i dragocenosti",Ručni satovi | Smartwatch
Rostilj Sebastijan Elegant 46X40 cm,Korišćeno,2400,din,"Prodajem rostilj Sebastijan velicine 46X40 cm odlicno ocuvan i svega nekoliko puta koriscen.
Metalne trakice na rostilju su od inoxa.

Roštilj na drveni ugalj i drva.
Dimenzije: 46x40cm
Materijal: Inox
Postojeći okvir roštilja zadržava temperaturu kod pečenja i sprečava prskanje masnoće iz mesa.
Masnoća se skuplja u tanjirić za ceđenje masnoće.
Ploča od inoxa je dosta praktična za pečenje mesa, ima blago udubljene rešetke, pa meso ima i lep

izgled posle pečenja i ostaje sočno.

ODRŽAVANJE:
Nakon svake upotrebe, sve delove roštilja oprati i osušiti. Roštilj odložiti na suvo mesto radi zaštite

od rđe.",Dvorište i bašta,"Roštilji, sačevi i kotlići"
JBL Tune 600 BTNC Bluetooth Slusalice sa Noise cancellingom,Korišćeno,6500,din,"Prodajem JBL Tune 600BTNC bluetooth slusalice, odlicno ocuvane i potpuno ispravne.
Uz slusalice se dobija micro usb kabel za punjenje.

Kompaktne on-ear bežične slušalice idealna su solucija za svakodnevnu upotrebu.
Sada možete uživati u zvuku bez nepotrebne buke sa strane zahvaljujući Noise-Cancelling tehnologiji.
Baterija autonomije 12h kompletno je napunjena za samo 2h.
Uživajte u zabavi tokom celog dana!

Glavne karakteristike:
Zadržite buku izvan svog sveta muzike
Poseduju aktivnu noise-cancelling tehnologiju
Precizan, impresivan zvuk
Jednostavno povezivanje preko blututa sa mobilnim uređajima
JBL Pure Bass tehnologija i drajveri od 32 mm obezbediće Vam savršen bas
Baterija autonomije 12h kompletno je napunjena za samo 2h
Ugrađeni mikrofon omogućava hands-free pozive
Napravljene od izdržljivih materijala
Dizajnirane za udobno višečasovno nošenje",Audio,Slušalice
De Longhi Caffe Container,Korišćeno,3600,din,"Prodajem ispravan i testiran De Longhi Caffe Kontejner. Radi na 4 AA baterije i izvlaci vazduh iz posude, kako bi zadrzala svezina kafe.
Držite kafu optimalnu svežu sa De'Longhi vakumski zatvorenim kanisterom za drzanje kafe. Kanister za skladištenje kafe smanjuje otpad.
Veliki kapacitet posude od 1.6l znači da više nećete morati rizikovati gubljenje arome kafe koja se čuva u vrećici u ormaru.
Jednostavno pritisnite vakuum taster na poklopcu jednom i posuda će stvoriti vakuumsku svežinu za minut ili dva. Moderna brušena srebrna posuda izgledace fantastično u svakom kuhinjskom okruženju i lako se može uskladiti s drugim čašama za čuvanje čaja i kafe.
Posuda za kafu se može lako isprazniti u aparat za kafu ili mlin. Unutrasnji kanister za kafu može se lako ukloniti za jednostavno čišćenje. Kanister za kafu učinice savršeni poklon za ljubitelje kafe, a pogodan je za sve vrste kafe, uključujući kafu u zrnu i filter kafu. Aparat radi na 4 AA baterije.
 ",Bela tehnika i kućni aparati,Aparati za kafu
Torbica za drzanje mobilnog na biciklu waterproof,Kao novo - nekorišćeno,1200,din,"Prodajem odlicno ocuvanu i nekoriscenu torbicu za drzanje mobilnog telefona na biciklu.
Torbica je waterproof.",Bicikli | Delovi i oprema,"Bisage, korpe i prikolice"
Mikrofon za Kalibraciju,Korišćeno,2400,din,Prodajem mikrofon za kalibraciju zvuka na audio sistemima. Mikrofon je potpuno ispravan i odlicno ocuvan.,Audio,Risiveri | Surround
Logitech Harmony ONE univerzalni daljinski sa Touch Ekranom,Korišćeno,6000,din,"Prodajem Logitech Harmony One univerzalni daljinski sa color touch ekranom, potpuno ispravan i odlicno ocuvan. Logitech Harmony One - univerzalni daljinski, zamenite sve daljinske jednim, malo koriscen, perfektno stanje.   Uz njega ide postolje, punjac, kabl i baterija. Daljinski se lako programira i u sebi ima ugradjene programe za skoro sve uredjaje na trzistu a koje nema lako moze da “ nauci” ukoliko imate originalan daljinski. Takodje, postoji mogucnost pravljenja takozvanih aktivnosti gde se jednim klikom dugmeta ukljucuje nekoliko uredjaja, na primer ukljucuje se TV, automatski prebacuje na HDMI 1 ulaz, ukljucuje se SBB prijemnik i u tom slucaju zvuk kao i kanale kontrolisete na jednom daljinskom. Prednost ovog daljinskog u odnosu i na novije modele je to sto ovaj daljinski ima ekran osetljiv na dodir ali i dugmice za brze rukovanje kao i to da mu je baterija zamenjiva. Takodje mozete upravljati i sa klima uredjajima, svetlima kao i ostalim uredjajima koji se kontrolisu uz pomoc IR-a (infra crvenih zraka).",TV i Video,Daljinski upravljači
DeLonghi EN660.R Nespresso Lattissima Espresso Maker,Korišćeno,7500,din,"Prodajem DeLonghi EN660. R Nespresso Lattissima Espresso maker, potpuno ispravan i odlicno ocuvan. Nedostaje posuda za mleko tako da pravi kratki i dugacki espresso, samo za prave ljubitelje espresso kafe. Aparat radi na nespresso kapsule.",Bela tehnika i kućni aparati,Aparati za kafu
Maska za Iphone XS Max na preklop,Kao novo - nekorišćeno,1000,din,Maska za Iphone XS Max ocuvana u svojoj originalnoj ambalazi.,Mobilni tel. | Oprema i delovi,"Apple iPhone | Futrole, maske i folije"
"USB 3,0 Produzni kabel",Korišćeno,1000,din,"Pruduzni kabel USB 3,0 Ocuvan i ispravan.",Kompjuteri | Desktop,Kablovi i adapteri
Albrecht Digital Radio DR57,Korišćeno,10000,din,"Prodajem Albrecht Digital radio DR57 uredjaj sluzi za prijem digitalnih stanica na postojecem radio prijemniku u kolima. Uredjaj ima i funkciju Bluetooth tako da se moze koristiti i za razgovore.
Isporucuje se sasvom opremom koja se nalazi u originalnoj kutiji u kojoj je kupljen.

O proizvodu
Radio adapter za automobil DR 57 omogućava bez suma prijem digitalnih radio stanica u vozilu. Zahvaljujući automatskom praćenju usluge, DR 57 uvek pronalazi najjači predajnik.
Ažuriranje auto-radija: DAB + je budućnost, već dostupan standard za digitalni radio prijem i zameniće FM radio. DR 57 je kompatibilan sa bilo kojim starim auto-radiom zahvaljujući FM predajniku. Jednostavno praktično: adapter DR 57 je pričvršćen nosačem usisne čaše i rotirajućim kugličnim zglobom. Hendsfri sistem omogućava pozive tokom vožnje, idealan za putnike i kamione. MP3 omiljena muzika: Bluetooth interfejs na DR 57 brzo se povezuje sa vašim pametnim telefonom ili tabletom. Ovo vam omogućava da tokom vožnje slušate svoju omiljenu muziku, uključujući Spotifi i druge.
Uređaj ima 30 omiljenih memotija i 5 omiljenih tastera. Spoljni audio uređaji se mogu povezati preko Aux-in i Line-Out konektora. Uspostavite kablovske veze sa auto-radiom.",Automobili | Oprema,Radio/CD/DVD/Multimedia za auto
PLANTRONICS slušalice BLACKWIRE C720-M (Crne),Korišćeno,12000,din,"Prodajem Plantronics C720-M USB Bluetooth Stereo NC slušalice, potpuno ispravne i odlicno ocuvane, u svojoj originalnoj torbici.

Karakteristike

Proizvođač: Plantronics
Model: C720-M
Kratak opis: USB BT Stereo NC slušalice
Kontrole: Podešavanje jačine zvuka, uključivanje/isključivanje mikrofona i prebacivanje sa USB na Bluetooth mod
Noise-canceling (mic): Da
Konekcija: Bluetooth v3.0 + USB
Ostalo: Sistem Stereo. Frekventni odziv 20Hz - 20KHz. F
rekventni odziv mikrofona 100Hz – 8kHz. Punjiva baterija. Autonomija baterije: do 10 sati. Sertifikovano za Skype for Business i optimizovano za Microsoft Lync. Kompatibilnost sa Windows i MacOS uređajima",Kompjuteri | Desktop,Slušalice i mikrofoni
Abus Xplus 6400 Brava sa Sponama,Neispravno ili oštećeno,1800,din,"Abus Xplus 6400 brava sa sponama odlicno ocuvana ali na zalost kljucevi su izgubljeni tako da se prodaje bez njih, zato je i ova minimalna cena.",Bicikli | Delovi i oprema,Pumpe i brave za zaključavanje
Voltcraft VC404 Unimer,Korišćeno,1500,din,"Prodajem Voltcraft merni instrument VC404 potpuno ispravan i ocuvan, jedino su se pipalice kod ulaska u instrument malo razlabavile, trebalo bi ih promeniti u skorije vreme, one sada rade i ispravne su.",Elektronika i komponente,Merni uređaji
Kenwood Nastavak za mesenje testa,Korišćeno,1800,din,"Prodajem Kenwood nastavak za mesenje testa, ispravan i ocuvan.",Ugostiteljstvo | Oprema,Kuhinjska oprema
Bose SoundTouch 10 Multi-room WiFi Bluetooth Zvucnik,Korišćeno,120.0,€,"Prodajem Bose SoundTouch 10 Multi- Room WiFi Bluetooth zvucnik, potpuno ispravan i perfektno ocuvan. Isporucuje se sa originalnim strujnim kablom i daljinskim.

Karakteristike
Tip: Zvučni sistem
Ugrađeni Wi-Fi i Bluetooth
Wireless podrška: 802.11 b/g/n
Podržani audio formati: MP3, WMA, AAC, FLAC, Apple Lossless
Portovi: AUX, USB
Boja: Crna",Audio,Zvučnici | Bluetooth zvučnici
Melitta Molino Elektricni mlin za espresso Kafu,Kao novo - nekorišćeno,5000,din,"Pradejem elektricni mlin za espresso kafu Melitta Model Molino, potpuno ispravan i funkcionalan, nov i koriscen samo jednom radi probe i slikanja. Mlin ima svoju originalnu kutiju.

Posuda za zrna kafe sa kapacitetom od najviše 200g.
Podesite količinu kafe za 2-14 šolja
17 individualnih podešavanja mlevenja
Energetski efikasna, mala potrošnja energije i automatsko isključivanje. Komponente koje se lako uklanjaju, npr. Brusni disk, posuda za mlevenu kafu i poklopac
Mlevena kafa sakupljena u odvojivom kontejneru.",Bela tehnika i kućni aparati,Aparati za kafu
Korg Toneworks AX30B Bass Multi Effects Pedal,Korišćeno,7500,din,"Korg AX 30B Bass Multi Effects Pedal procesor, potpuno ispravan i solidno ocuvan sa sitnim tragovima koriscenja.",Muzika i instrumenti,Bass gitare | Oprema i delovi
"Onkyo SBX-200 Audio Speaker for iPod, iPhone and iPad",Korišćeno,8000,din,"Onkyo Sbx-200 Bluetooth zvucnik za Ipod, Ipad i Iphone, potpuno ispravan i odlicno ocuvan sa sitnim tragovima koriscenja i sa svojim originalnim strujnima adapterom. Ipod sa slike ne ide sa zvucnikom.

iPod, iPhone, iPad digitalna audio veza i dock za punjenje.
Bežična reprodukcija muzike preko Bluetooth-a za iPod touch, iPhone, iPad ili Android telefona Snažnih 20 V, Ch pri 6 oma, 1 kHz, 2 kanala Digitalno  pojačala za održavanje čistih audio signala Aktivna kontrola basa, Super Bas funkcija",Audio,Zvučnici
Bose SounddDock Series II Digital Music System,Korišćeno,7000,din,"Bose SoundDock Serije II Potpuno ispravan i odlicno ocuvan sa sitnim tragovima koriscenja, prodaje se sa svojim originalnim strujnima adapterom i bez ipoda.",Audio,Zvučnici
HP Google Chromebook 11 G1 G2 Micro USB 5.25V 3A AC Adapter,Korišćeno,2000,din,"Originalni HP punjac za Google chromebook 5,25V 3A
Potpuno ispravan i odlicno ocuvan.",Kompjuteri | Laptop i tablet,Laptopovi | Adapteri
Messerschmidt Elektricni mlin za Zitarice,Korišćeno,9500,din,"Nemacki Elektricni mlin za zitarice, potpuno ispravan i funkcionalan, odlicno ocuvan.",Bela tehnika i kućni aparati,Kuhinjski aparati
Seamless Device Controller SPIN REMOTE SDC-1 Wi-Fi Original,Kao novo - nekorišćeno,8500,din,"Potpuno ispravan odlicno ocuvan ALL in 1 daljinac koji radi sa gestovnim komandama, pogledajte na netu sta sve on radi.

SpinRemote All-in-1 Infrared remote
Preconfigured for Sonos, Philips Hue, LG Smart TV, Bose SoundTouch, Denon Heos, LIFX (more to come)
Software updates via the App
2 AA batteries
Phone/tablet with iOS 8 or later or Android 4.3 or later, with Bluetooth 4.0 or above
360° Infrared (standalone)
Bluetooth Low Energy (BLE)
Wi-Fi (via the App)
      Description
With SDC-1, you will control your devices intuitively with simple gestures for immediate responsiveness - for a unique and exciting experience.",TV i Video,Daljinski upravljači
Shure DFR 11EQ Digital Feedback Reducer + EQ,Korišćeno,7000,din,"Shure DFR 11EQ Digitalni prigusivac povratnog zvuka, potpuno ispravan i odlicno ocuvan.

Shure DFR11EQ je jednokanalni procesor signala koji u jednostavnom pakovanju od 9,5 inča kombinuje ekvilajzer, reduktor povratne sprege, graničnik i Delay. DFR11EK je dizajniran za postavljanje u putanju PA signala kako bi se omogućilo izjednačavanje celog PA odgovora i automatsko otkrivanje i kontrola akustičke povratne informacije. DFR11EK je dizajniran za aplikacije u instaliranim zvučnim sistemima, kao što su u pozorištima, konferencijskim salama, skupštinskim salama ili crkvama. DFR11EK je takođe efikasno sredstvo za kontrolu glavnih modova povratnih informacija u aplikacijama za muziku uživo.
Ekvilajzer DFR11EK može se podesiti da deluje kao 30-opsežni grafički ekvilajzer ili kao 10-opsežni parametrični ekvilajzer. Grafički ekvilizator treće oktave može pojačati svaki opseg do 6 dB ili ga smanjiti za 12 dB. Parametrični ekvilajzer omogućava podesivu frekvenciju, pojačanje do 6 dB ili smanjenje za 18 dB i propusnost do dve oktave.
Stepen smanjenja povratnih veza DFR11EK automatski ubacuje filtere za odbacivanje uskih opsega na otkrivenim frekvencijama povratnih informacija. Ovi bandstop filteri sprečavaju povratni sistem povratnih informacija; međutim, one su dovoljno uske da je njihov uticaj na kvalitet zvuka minimalan. Algoritam za otkrivanje povratne informacije neprestano traži povratne informacije, bilo da je prisutan zvuk programa ili ne.

karakteristike hardvera
- Cristal * 20-bitni A / D i D / A pretvarač (Analog-Digital, Digital-Analog) omogućava dinamički raspon od 104 dB.
- 48 kHz frekvencija uzorkovanja omogućava linearni frekvencijski odziv do 20 kHz. - Scene sačuvane u uređaju mogu se birati preko tastera na prednjoj ploči.",Muzika i instrumenti,Ozvučenja | Oprema i delovi
Braun Serija 9 Aparat za Brijanje Crni,nepoznato,7000,din,"Prodajem Braun aparat za brijanje Serija 9.   Brijac je u odlicnom radnom stanju i odlicno radi, jedino bi mozda trebalo zameniti glavu, mada i sa ovom on dobro radi.
Brijac se isporucuje sa originalnim strujnim adapterom.

Karakteristike

5 specijalizovanih delova brijača jednim potezom rade ono što drugi rade iz dva – manje poteza i manje iritacije kože, Patentirana SyncroSonic tehnologija očitava i prilagođava se vašoj bradi 160 puta u sekundi, obezbeđujući dovoljno snage tamo gde je najpotrebnije, Svetska 5-funkcijska Clean& Charge stanica na bazi etanola koja čisti, podmazuje i higijenski suši vaš aparat za brijanje pritiskom na dugme
Wet & Dry - Može se koristiti kao suvo ili brijanje ispod tuša Vodootporan Da Ostalo Najefikasniji i najudobniji brijač na svetu – dokazano na trodnevnoj bradi u odnosu na lidere u klasi
LED displej sa indikatorima za punjenje, čišćenje i održavanje (podsetnik za zamenu folije i nožića)
1 sat punjenja za pun kapacitet, 5 minuta punjenja za jedno brijanje
Baterija: Li-Ion
Clean& Charge stanica, kertridž
Smart utikač sa automatskim podešavanjem napona (100-240 V) Boja Srebrna
Patentirana SyncroSonic tehnologija
5-funkcijska Clean& Charge stanica
LED displej za punjenje, čišćenje i održavanje
5 minuta punjenja za jedno brijanje","Nega lica, tela i ulepšavanje",Oprema za brijanje
JBL Free X bluetooth slušalice Crne,Korišćeno,4500,din,"Prodajem JBL X Free bluetooth slušalice Crne, ispravne i ocuvane.

Zaista bežični Otkrijte slobodu bežičnog života koji sluša muziku, upravlja vašim pozivima ili radom.
JBL Signature Sound Impresivan JBL Signature Sound isporučen u intuitivnom, inteligentnom paketu. 24 sata kombinovane reprodukcije
Uživajte u celom danu bežičnog zvuka, sa 4 sata neprekidnog reprodukovanja i 20 sati napajanja u slučaju punjenja.
Podrška A2DP V1.3, AVRCP V1.6, HFP V1.6, HSP V1.2
Kompatibilnost Koristite telefone, tablete, računare
Bluetooth verzija 4.2
Predajnik snage <9.5dBm
Frekvencijski opseg2.402 - 2.480GHz
ModulacijaGFSK, p / 4 DKPSK, 8DPS",Mobilni tel. | Oprema i delovi,Slušalice za mobilne telefone
Soehnle Attraction Stainless Steel Kitchen Weighing Scale,Korišćeno,1200,din,"Prodajem Soehnle Kuhinjsku vagu digitalnu, odlicno ocuvanu, sa digitalnim ekranom.

Meri do [5kg / 9 lb, 15oz / 5000 ml / 180 fl oz (US) / 170 fl oz (US)], najveća preciznost (gradacija 1 g / 0,05 oz / 1 ml)
Ekran se može prebacivati između težine i zapremine. To znači da se tecnosti poput mleka i vode mogu prikazati u ml.
Inovativna i patentirana tehnologija Sensor Touch - dovoljan je blagi dodir upravljačke ploče
Veliki LED-ekran jednostavan za čitanje s plavim osvetljenjem.
Funkcija automatskog isključivanja koja štedi energiju",Bela tehnika i kućni aparati,Kuhinjski aparati
Ultrazvucni merac razdaljine i Dzinovski metar,Korišćeno,2400,din,"Prodajem ultrazvucni merac razdaljine u ultra veliki metar koji meri do 18 metara.
Ispravan i odlicno ocuvan, kao nov i nekoriscen.",Alati i oruđa,Za merenje
SONY Stereo Cassette Deck TC-K6B,Korišćeno,150.0,€,"SONY Stereo Cassette Deck TC-K6B Potpuno ispravan i perfektno ocuvan, jedino nedostaje plastika za kasetu koja ne smeta pri radu. Sve gumice su zamenjene i sve radi perfektno.",Audio,Kasetni dekovi
Swatch Irony Muski Chronograph,Korišćeno,4500,din,"Swatch chronograph muski sat, potpuno ispravan odlicno ocuvan u celiku.","Nakit, satovi i dragocenosti",Ručni satovi | Brendovi muški
Sony WI-C400 Bluetooth Slusalice,Kao novo - nekorišćeno,6500,din,"Prodajem Sony WI-C400 Bluetooth slusalice, potpuno ispravne i funkcionalne, zapakovane u svoju originalnu kutiju.

Uživajte u visokokvalitetnom zvuku sa udobnih bežičnih slušalica u bojama koje se uklapaju u vaš lični stil.
Dizajn nošenja iza vrata oblikovan je za udobno celodnevno slušanje. Obaveštenje vibracijom za dolazni poziv.
Trajanje baterije do 20 sati. Kvalitetan zvuk tokom celog dana.

Glavne karakteristike:
Dizajn nošenja iza vrata oblikovan je za udobno celodnevno slušanje
Udoban stil nošenja sa pametnim sprovođenjem kablova
Sinhronizuju se sa pametnim telefonom, dobijaju upozorenja na poruke i primaju dolazne pozive uz obaveštenje vibracijom
Dugmad za reprodukovanje, zaustavljanje ili prelazak sa numere na numeru i prilagođavanje jačine zvuka
Jednostavno BLUETOOTH® povezivanje uz NFC jednim dodirom",Audio,Slušalice
Apple strujni kabel,Kao novo - nekorišćeno,1000,din,Potpuno nov i nekoriscen Apple strujni kabel.,Kompjuteri | Laptop i tablet,Laptopovi | Apple oprema i delovi
Sigma EF500 DG Super Elektronski flash za Nikon,Korišćeno,5500,din,"Prodajem elektronski blic Sigma model EF500 DG Super potpuno ispravan i odlicno ocuvan.
Sigma EF 500DG Super Na, EF 500 DG Nikon Super - Blic sa automatskom kontrolom ekspozicije TTL (za SLR fotoaparate). Izlaz svetlosti vodećeg broja 50 / m na ISO 100. Podesiva glava blica, do 90 ° prema gore, do 180 stepeni levo i 90 ° desno. Š k V k D = 77Ks139Ks117 MM Težina: 335 g samo za Nikon D konektor. Nikon iTTL F14923",Foto,"Rasveta | Blicevi, blic glave i LED"
Ersa SMD 8000 Lemna stanica,Korišćeno,6500,din,"Prodajem Lemnu stanicu Ersa SMD 8000 Type SNT80 potpuno ispravna i solidno ocuvana sa sitnim tragovima koriscenja. Stanica ima dva ulaza, za lemilicu i za lemnu pincetu pogodnu za smd tehnologiju.",Alati i oruđa,Za elektroniku i elektriku
"Led Lenser H14,2 Lampa za glavu",Korišćeno,9999,din,"Prodajem Led lenser H14,2 lampu za glavu, potpuno ispravnu i funkcionalnu i perfektno ocuvanu.
Radi na 4 AA baterije 1,5 V ili na 4 punjive baterije i puni se preko obicnog micro usb kabla.

Led Lenser H14.2
Led Lenser H14.2 LED lampa za glavu je naslednik H 14 serije sa naprednijim CREe LEd čipom i mnogo većom snagom. Novi model je zahvaljujući revidiranom dizajnu ergonomski oblikovan, trajniji i zgodnije za korišćenje. Novi koncept prekidača čini lampu funkionalnijom i pomaže korisniku da upravlja praktičnim funkcijama osvetljenja. Rotirajući prekidač u odelju za baterije omogućava fleksibilnost u mogućnosti podešavanja osvetljenosti. Sa visoko osetljivim CREE LED čipom daje svetlost oko 350 lumena i do 3 puta jaču u odnosu na klasične lampe, nudi nekoliko programa osvetljenja sa različitim funkcijama. Lampa sa mekanom i udobnom trakom oko glave može da se okrene za 90 stepeni, izuzetno je lagana i prijatna za nošenje. Lampa je idealna za kampere, planinare, noćne džogere ili rudare. Sadrži indikator kapaciteta baterije. Može da se koristi i kao svetlo za bicikl, za nošenje oko glave ili nošenjem u ruci.
Karakteristike:
Podesiva dužina trake
Zadnja crvena LED baterija
Težina: 340g
Lumena: 350
Visoko osetljiv CREE LED čip
Indikator kapaciteta baterije: zeleno svetlo: kapacitet od 70-100%, žuto svetlo: manje od 70%, crveno svetlo:10-40%
Napajanje: 4 AA alkalne baterije 1.5v
Energetski rezervoar: 16.8Wh
Trajanje baterija: 8h (350 lumena), 60h (60 lumena)
Domet osvetljenja: 260m (350 lumena), 100m (60 lumena)",Lov i ribolov,Lov | Lampe
SR Suntour NCX Sticna Amortizer Sedista,Korišćeno,6500,din,"Prodajem Suntour NCX sticna amortizer perfektno ocuvana hromirana, naravno ispravna.

NCX sedište je konstruisano i napravljeno za godine udobnosti i performansi. Jedinstveni i patentirani dizajn paralelograma omogućava glatku usklađenost malih izbočina sa ukupno 50 mm hoda kako bi se postigla lagana vožnja. Udobnost, malo održavanja i dugotrajna izdržljivost je ono o čemu se radi u ovom postu. Stub sedišta SR SUNTOUR NCX je najbolji u klasi po performansama i vrednosti. Ovo je obavezna oprema za bilo kog biciklistu koji traži vrhunsku udobnost.

Putovanje od 50 mm
Čaure od nerđajućeg čelika
Patentirani dizajn paralelograma
Prednaprezanje podesivo
Dizajn unutrašnje spiralne opruge
Bočna stezaljka ima radijalni držač sa širokim opsegom podešavanja
Standardna opruga je predviđena za vozače od 65-85 kg
Težina 765g
Maksimalna visina umetanja 110 mm
Maksimalno produženje visine od 300 mm za dužinu od 350 mm
Maksimalno produženje visine od 350 mm za dužinu od 400 mm",Bicikli | Delovi i oprema,Sedišta
Viking TE 600 Elektricni trimer,Korišćeno,6000,din,"Prodajem Viking TE 600 elektricni trimer, potpuno ispravan i odlicno ocuvan.",Dvorište i bašta,Kosilice i trimeri
Siemens Gigaset SL400 Bezicni Telefon,Korišćeno,4500,din,"Prodajem Bezicni telefon Siemens Gigaset Sl400 potpuno ispravan i savrseno ocuvan.

Opis proizvoda:
Izradjen od luksuznih materijala – metalni okvir i osvetljeni metalni tasteri
Kolor displej, Bletooth konekcija, ECO DECT tehnologija bez zracenja
Adresar sa 500 unosa, sinhronizacija preko Bluetooth-a ili mini USB prikljucka
Talk-/Standby vreme 14h/200h
Izuzetan kvalitet zvuka, prikaz slike pozivaoca, screen saver, Vibracija",Bela tehnika i kućni aparati,Telefoni i telefaks aparati
Celicna sajla 5 metara sa Katancem,Kao novo - nekorišćeno,2500,din,Prodajem plastificiranu celicnu sajlu duzine 5 metara sa katancem u plasticnom kucistu i dva kljuca.,Bicikli | Delovi i oprema,Pumpe i brave za zaključavanje
Samsung ASC MIC SM-100 Mikrofon za kalibraciju zvuka,Korišćeno,2500,din,"Samsung mikrofon za kalibraciju zvuka u sobi, ispravan i i cuvan, ovo bi svaka kuca trebala da ima.",Audio,Risiveri | Surround
Omron Walking Style One HJ-152K-E Pedometar,Korišćeno,1800,din,Potpuno ispravan i odlicno ocuvan pedometar Omron.,Sport i razonoda,Oprema za fitnes i aerobik
iSi Dessert Whip Mini boca za Slag,Kao novo - nekorišćeno,6000,din,"iSi Dessert Whip Mini, potpuno nova i nekoriscena profesionalna boca za slag, sa svim svojim dodacima, koje mozete videti na slikama na kutiji. Gratis se dobija 10 patrona za bocu.",Ugostiteljstvo | Oprema,Barska oprema
"Laptop desk, Breakfast tray, Small wood desk, Lap tray, Bed",Korišćeno,2400,din,Odlican Lap Top stand ili za dorucak u krevetu posluzavnik.,Kompjuteri | Laptop i tablet,Laptopovi
Resmed S9 Aparat za Sleep Apneu,nepoznato,270.0,€,"Prodajem CPAP Aparat za Sleep Apneu Resmed S9 potpuno ispravan i odlicno ocuvan.
Aparat je radio 10325 sati i prodaje se bez maske i ovlazivaca vazduha, uz uredjaj ide strujni adapter
i originalna torba za nosenje i drzanjer aparata",Usluge | Zdravstvo,Nega starih i bolesnih
Sennheiser Torbica,Korišćeno,1200,din,Sennheiser torbica ocuvana.,Audio,Slušalice
